ID,da_percent,hra_percent,esi_eligible
767,0.0,0.0,0
764,0.0,0.0,0
1419,0.0,0.0,0
1444,0.0,0.0,0
1452,0.0,0.0,1
1459,0.0,0.0,1
1462,0.0,0.0,0
1463,0.0,0.0,0
400,26.39,16.0,0
1414,0.0,0.0,0
1417,0.0,0.0,0
1430,0.0,0.0,0
1439,0.0,0.0,1
1454,0.0,0.0,1
1457,0.0,0.0,1
1461,0.0,0.0,1
1469,0.0,0.0,1
281,26.39,16.0,0
234,26.39,16.0,0
235,26.39,16.0,0
236,26.39,16.0,0
237,26.39,16.0,0
238,26.39,16.0,0
239,26.39,16.0,0
240,26.39,16.0,0
262,26.39,16.0,0
260,26.39,16.0,0
245,26.39,16.0,0
322,26.39,16.0,0
323,26.39,16.0,0
324,26.39,16.0,0
331,26.39,16.0,0
1170,0.0,0.0,0
311,26.39,16.0,0
776,0.0,0.0,0
775,0.0,0.0,0
777,0.0,0.0,0
723,0.0,0.0,0
724,0.0,0.0,0
771,0.0,0.0,0
772,0.0,0.0,0
779,0.0,0.0,0
718,0.0,0.0,0
722,0.0,0.0,0
739,0.0,0.0,0
749,0.0,0.0,0
740,0.0,0.0,0
728,0.0,0.0,0
742,0.0,0.0,0
1410,0.0,0.0,1
1416,0.0,0.0,1
1418,0.0,0.0,1
1425,0.0,0.0,0
1426,0.0,0.0,1
1427,0.0,0.0,1
1428,0.0,0.0,1
1429,0.0,0.0,1
1433,0.0,0.0,0
1438,0.0,0.0,1
1440,0.0,0.0,1
1441,0.0,0.0,1
1442,0.0,0.0,1
1446,0.0,0.0,1
1453,0.0,0.0,1
1458,0.0,0.0,0
1460,0.0,0.0,1
1315,0.0,0.0,0
1173,0.0,0.0,0
1172,0.0,0.0,0
1318,0.0,0.0,0
1256,0.0,0.0,0
1167,0.0,0.0,0
1397,0.0,0.0,0
259,26.39,16.0,0
1468,0.0,0.0,0
230,26.39,16.0,0
148,26.39,16.0,0
231,26.39,16.0,0
282,26.39,16.0,0
269,26.39,16.0,0
272,26.39,16.0,0
270,26.39,16.0,0
271,26.39,15.999999999999998,0
326,26.39,16.0,0
346,26.39,16.0,0
765,0.0,0.0,0
766,0.0,0.0,0
719,0.0,0.0,0
714,0.0,0.0,0
768,0.0,0.0,0
774,0.0,0.0,0
